objectid,title,state,university,repo-y-or-no,reponame,filename,pubtitle,titlesincollection,agency,numberofitems,date-range,software,imagefile?,pdf?,type,format,subject
agpubrepos0011,Circulars (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2070,Circulars,,Agricultural and Forestry Experiment Station (AFES) ,,1993-2002,DSpace,,Yes,url,record,
agpubrepos0012,Fiscal Summaries (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2186,Fiscal Summaries,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
agpubrepos0013,Miscellaneous Publications (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2111,Miscellaneous Publications,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
agpubrepos0014,Reports (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/4406,Reports,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
agpubrepos0015,Research Progress Reports (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2093,Research Progress Reports,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
agpubrepos0016,Summary of Research Projects (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2775,Summary of Research Projects,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
agpubrepos0017,Variety Trials (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2816,Variety Trials,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
agpubrepos0018,Publications (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,,Publications,,Alaska Agricultural Experiment Station (AAES),,,DSpace,,Yes,url,record,
agpubrepos0019,Food Prices (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/4733,Food Prices,,Alaska Agricultural Experiment Station (AAES),1,1960-70,DSpace,,Yes,url,record,
agpubrepos0020,Irrigation Circular (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2034,Irrigation Circular,,Alaska Agricultural Experiment Station (AAES),1,1958,DSpace,,Yes,url,record,
agpubrepos0021,Mimeo Circular (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2037,Mimeo Circular,,Alaska Agricultural Experiment Station (AAES),5,1956-65,DSpace,,Yes,url,record,
agpubrepos0022,Mimeograph Circular (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2641,Mimeograph Circular,,Alaska Agricultural Experiment Station (AAES),8,1949-56,DSpace,,Yes,url,record,
agpubrepos0023,Progress Report (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2691,Progress Report,,Alaska Agricultural Experiment Station (AAES),2,1950,DSpace,,Yes,url,record,
agpubrepos0024,Soil Survey Series (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2637,Soil Survey Series,,Alaska Agricultural Experiment Station (AAES),3,1960-74,DSpace,,Yes,url,record,
agpubrepos0025,Special Reports (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2194,Special Reports,,Alaska Agricultural Experiment Station (AAES),7,1953-1971,DSpace,,Yes,url,record,
agpubrepos0026,Technical Bulletin (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2102,Technical Bulletin,,Alaska Agricultural Experiment Station (AAES),7,1969-78,DSpace,,Yes,url,record,
agpubrepos0027,University of Alaska Agricultural Experiment Station (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/1954,University of Alaska Agricultural Experiment Station,,Alaska Agricultural Experiment Station (AAES),1,1956-78,DSpace,,Yes,url,record,
agpubrepos0028,Forest Sciences-Theses (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/1176,Forest Sciences-Theses,,School of Natural Resources and Agricultural Sciences (SNRAS) ,10,1992-2013,DSpace,,Yes,url,record,
agpubrepos0029,Institoots (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2041,Institoots,,Institute of Agricultural Sciences,1,1974,DSpace,,Yes,url,record,
agpubrepos0030,UAF/CES ( University of Alaska Fairbanks),Alaska, University of Alaska Fairbanks,,,http://cespubs.uaf.edu/,UAF/CES,,UAF/CES,,,,,Yes,url,record,
agpubrepos0031,Agricultural & Forestry Experiment Station Research Database ( University of Alaska Fairbanks),Alaska, University of Alaska Fairbanks,,,http://afesresearch.uaf.edu/,Agricultural & Forestry Experiment Station Research Database,,Agricultural & Forestry Experiment Station Research Database,,,,,Yes,url,record,
agpubrepos0032,Agriculture and Horticulture ( University of Alaska Fairbanks),Alaska, University of Alaska Fairbanks,,,https://www.uaf.edu/ces/districts/juneau/agriculture/,Agriculture and Horticulture,,UAF/CES,,2015-2020,,,,url,record,
agpubrepos0033,Invasive Species Publications (University of Alaska Anchorage),Alaska,University of Alaska Anchorage,,,https://accs.uaa.alaska.edu/invasive-species/publications/,Invasive Species Publications,,Alaska Center for Conservation Science,,2004-2020,,,Yes,url,record,
agpubrepos0034,Publications (University of Alaska Anchorage),Alaska,University of Alaska Anchorage,,,https://accs.uaa.alaska.edu/publications/,Publications,,Alaska Center for Conservation Science,,1991-2020,,,Yes,url,record,
agpubrepos0035,Resources (Alaska ),Alaska,Alaska ,,,http://dnr.alaska.gov/ag/ag_resources.htm,Resources,,Department of Natural Resources Division of Resources,,,,,,url,record,
agpubrepos0036,East Bay Community Agriculture (Cal State East Bay),California,Cal State East Bay,Y,ScholarWorks,http://csueastbay-dspace.calstate.edu/discover?query=agricultural+&submit=Go,,East Bay Community Agriculture,CalState East Bay,76,1942-2018,Dspace,,Yes,url,record,
agpubrepos0037,http://repository.library.csuci.edu/handle/10211.3/1466/discover?field=subject&scope=10211.3/1466&query=agriculture&filtertype=subject&filter_relational_operator=equals&filter=Agriculture (California State University Channel Islands),California,California State University Channel Islands,,,http://repository.library.csuci.edu/handle/10211.3/1466/discover?field=subject&scope=10211.3/1466&query=agriculture&filtertype=subject&filter_relational_operator=equals&filter=Agriculture,http://repository.library.csuci.edu/handle/10211.3/1466/discover?field=subject&scope=10211.3/1466&query=agriculture&filtertype=subject&filter_relational_operator=equals&filter=Agriculture,,,,1882-2015,Dspace,,Yes,url,record,
agpubrepos0038,California State University Channel Islands Institutional Repository  (California State University Channel Islands),California,California State University Channel Islands,,California State University Channel Islands Institutional Repository ,https://csulb.libguides.com/c.php?g=39245&p=250108,California State University Channel Islands Institutional Repository ,,,,1600ʻs-2019,Dspace,,Yes,url,record,
agpubrepos0039,CalTech Authors (CalTech ),California,CalTech ,,CalTech Authors,https://authors.library.caltech.edu/cgi/search/simple?q=agriculture&_action_search=Search&_order=bytitle&basic_srchtype=ALL&_satisfyall=ALL,CalTech Authors,Agriculture,,358,1923-2019,ePrints3,,Yes,url,record,
agpubrepos0040,Agricultural Economics (Southern California Conferences for Undergraduate Research (SCCUR)),California,Southern California Conferences for Undergraduate Research (SCCUR),,,https://www.sccur.org/do/discipline_browser/disciplines?discipline_key=1076,,Agricultural Economics,,2,2016,,,Yes,url,record,
agpubrepos0041,Agricultural Education (Southern California Conferences for Undergraduate Research (SCCUR)),California,Southern California Conferences for Undergraduate Research (SCCUR),,,https://www.sccur.org/do/discipline_browser/disciplines?discipline_key=1076,,Agricultural Education,,10,"20,162,018",,,Yes,url,record,
agpubrepos0042,Biosecurity (Southern California Conferences for Undergraduate Research (SCCUR)),California,Southern California Conferences for Undergraduate Research (SCCUR),,,https://www.sccur.org/do/discipline_browser/disciplines?discipline_key=1076,,Biosecurity,,8,2017,,,Yes,url,record,
agpubrepos0043,Agricultural and Resource Economics Update (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Agricultural and Resource Economics Update,,Giannini Foundation of Agricultural Economics,88,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0044,Information Series (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Information Series,,Giannini Foundation of Agricultural Economics,5,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0045,Reporter (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Reporter,,Giannini Foundation of Agricultural Economics,1,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0046,Research Report Series (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Research Report Series,,Giannini Foundation of Agricultural Economics,10,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0047,Other Recent Work (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Other Recent Work,,Giannini Foundation of Agricultural Economics,2,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0048,Special Report Series (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Special Report Series,,Giannini Foundation of Agricultural Economics,1,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0049,Monograph Series (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&disciplines=Life%20Sciences,Monograph Series,,Giannini Foundation of Agricultural Economics,8,1986-2016,PKP/OJS,,Yes,url,record,
agpubrepos0050,Scholarly Works (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=agriculture&departments=anrcs_publications&disciplines=Life%20Sciences,Scholarly Works,ANR Publications,Agriculture and Natural Resources,558,1996-2019,PKP/OJS,,Yes,url,record,
agpubrepos0051,Agricultural Biotechnology (University of California),California,University of California,Y,eScholarship,https://escholarship.org/uc/anrcs_agbio/search?sort=desc&rows=20&start=0,Agricultural Biotechnology,ANR Publications,Agriculture and Natural Resources,20,2002-2006,PKP/OJS,,Yes,url,record,
agpubrepos0052,Scholarly Works (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&departments=are_ucb&sort=asc,Scholarly Works,,Department of Agriculture and Resource Economics(UCB),338,1976-2019,PKP/OJS,,Yes,url,record,
agpubrepos0053,Scholarly Works (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=Giannini%20Foundation%20of%20Agricultural%20Economics&departments=are&sort=asc,Scholarly Works,Multicampus Programs and Initiatives,Department of Agriculture and Resource Economics(UCD),93,1999-2014,PKP/OJS,,Yes,url,record,
agpubrepos0054,Research Grants Program Office (University of California),California,University of California,Y,eScholarship,https://escholarship.org/search?q=agriculture&departments=rgpo&info_start=0&sort=desc,,Research Grants Program Office,,483,1994-2019,PKP/OJS,,Yes,url,record,
agpubrepos0055,Recent Work (University of California),California,University of California,Y,eScholarship,https://escholarship.org/uc/anrcs_npi,Recent Work,,Nutrition Policy Institute (NPI),3,2018,PKP/OJS,,Yes,url,record,
agpubrepos0056,Calisphere (University of California),California,University of California,Y,Calisphere,https://calisphere.org/search/?q=agriculture,Calisphere,,,"391 collections-21,186",,Calisphere / Shared DAMS Code,,Yes,url,record,
agpubrepos0057,California Digital Library (University of California),California,University of California,Y,California Digital Library,https://www.cdlib.org/search?query=agriculture;is-html=false,California Digital Library,,,515,2002-2019,Calisphere / Shared DAMS Code,,Yes,url,record,
agpubrepos0058,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/,Hilgardia,"Animal, Aquaculture and Veterinary Science ",Division of Agriculture and Natural Resources,53,1925-1995,Dspace,,Yes,url,record,
agpubrepos0059,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/Collections/Botany_and_Plant_Science_/,Hilgardia,Botany and Plant Science ,Division of Agriculture and Natural Resources,240,1925-1995,Dspace,,Yes,url,record,
agpubrepos0060,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?collist=Ecology%20and%20Rangeland&searchsent=1,Hilgardia,Ecology and Rangeland ,Division of Agriculture and Natural Resources,17,1925-1995,Dspace,,Yes,url,record,
agpubrepos0061,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?collist=Economics%20and%20Public%20Policy&searchsent=1,Hilgardia,Economics and Public Policy ,Division of Agriculture and Natural Resources,30,1925-1995,Dspace,,Yes,url,record,
agpubrepos0062,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?collist=Entomology&searchsent=1,Hilgardia,Entomology ,Division of Agriculture and Natural Resources,316,1925-1995,Dspace,,Yes,url,record,
agpubrepos0063,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?searchsent=1&hilgsearch=&searchType=AW&Collist=Forestry&doi=&author=&monthFrom=5&yearFrom=1925&monthTo=12&yearTo=1995,Hilgardia,Forestry ,Division of Agriculture and Natural Resources,35,1925-1995,Dspace,,Yes,url,record,
agpubrepos0064,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?searchsent=1&hilgsearch=&searchType=AW&Collist=Nutrition%2C+Food+Science%2C+and+Food+Safety&doi=&author=&monthFrom=5&yearFrom=1925&monthTo=12&yearTo=1995,Hilgardia,"Nutrition, Food Science and Food Safety ",Division of Agriculture and Natural Resources,25,1925-1995,Dspace,,Yes,url,record,
agpubrepos0065,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?searchsent=1&hilgsearch=&searchType=AW&Collist=Plant+Pathology&doi=&author=&monthFrom=5&yearFrom=1925&monthTo=12&yearTo=1995,Hilgardia,Plant Pathology ,Division of Agriculture and Natural Resources,195,1925-1995,Dspace,,Yes,url,record,
agpubrepos0066,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?searchsent=1&hilgsearch=&searchType=AW&Collist=Soil%2C+Air+and+Water+Science&doi=&author=&monthFrom=5&yearFrom=1925&monthTo=12&yearTo=1995,Hilgardia,"Soil, Air and Water Science ",Division of Agriculture and Natural Resources,172,1925-1995,Dspace,,Yes,url,record,
agpubrepos0067,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?searchsent=1&hilgsearch=&searchType=AW&Collist=Wildlife&doi=&author=&monthFrom=5&yearFrom=1925&monthTo=12&yearTo=1995,Hilgardia,Wildlife ,Division of Agriculture and Natural Resources,25,1925-1995,Dspace,,Yes,url,record,
agpubrepos0068,Hilgardia (University of California),California,University of California,Y,California Agriculture,http://hilgardia.ucanr.edu/search/?searchsent=1&hilgsearch=&searchType=AW&Collist=Wine+and+Grape&doi=&author=&monthFrom=5&yearFrom=1925&monthTo=12&yearTo=1995,Hilgardia,Wine and Grape ,Division of Agriculture and Natural Resources,71,1925-1995,Dspace,,Yes,url,record,
agpubrepos0069,California Agriculture (University of California),California,University of California,Y,California Agriculture,http://calag.ucanr.edu/Archive/,California Agriculture,,Division of Agriculture and Natural Resources,73+,1946-2019,Dspace,,Yes,url,record,
agpubrepos0070,Pest management books and leaflets (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,California Agriculture,http://ipm.ucanr.edu/IPMPROJECT/pubsmenu.html,Pest management books and leaflets,,Statewide IPM Program,,,Dspace,,,url,record,
agpubrepos0071,UC IPM Green Bulletin (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,California Agriculture,http://ipm.ucanr.edu/greenbulletin/,UC IPM Green Bulletin,,Statewide IPM Program,,2010-2021,Dspace,,,url,record,
agpubrepos0072,Retail Nursery & Garden Center IPM News (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,California Agriculture,http://ipm.ucanr.edu/RETAIL/retail-newsletter.html,Retail Nursery & Garden Center IPM News,,Statewide Integrated Pest Management Program,,2011-2021,Dspace,,,url,record,
agpubrepos0073,The Western Front (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,California Agriculture,http://westernipm.org/index.cfm/about-the-center/publications/newsletters/,The Western Front,,Statewide IPM Program,,2005-2022,Dspace,,,url,record,
agpubrepos0074,History of UC IPM Program (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,California Agriculture,http://ipm.ucanr.edu/IPMPROJECT/HISTORY/index.html,History of UC IPM Program,,Statewide IPM Program,,1975-1990,Dspace,,,url,record,
agpubrepos0075,Videos and DVDʻs (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,California Agriculture,http://ipm.ucanr.edu/IPMPROJECT/slidesvideos.html,Videos and DVDʻs,,Statewide IPM Program,,,Dspace,,,url,record,
agpubrepos0076,California Agricultural Resources Archive (University of California/UC Merced),California,University of California/UC Merced,Y,California Agricultural Resources Archive (CARA),http://cara.ucmerced.edu/,California Agricultural Resources Archive,,"Humboldt County, UC Cooperative Extension Records",,1910-2010,Dspace,,,url,record,
agpubrepos0077,"Marin Technical Reports, Newsletter, UCCE Marin Annual Reports, etc. (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)))",California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),Y,UC/CE Marin County,http://cemarin.ucanr.edu/publications/,"Marin Technical Reports, Newsletter, UCCE Marin Annual Reports, etc.",,,,,Dspace,,,url,record,
agpubrepos0078,Brief History of the California Ornamental Research Foundation (CORF) (University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR))),California,University of California Agriculture and Natural Resources (UC Division of Agriculture and Natural Resources (ANR)),,University of California Nursery and Floriculture Alliance (UCNFA),http://ucnfa.ucanr.edu/news/,Brief History of the California Ornamental Research Foundation (CORF),,UC Nursery and Floriculture Alliance,,1997-2009,Dspace,,,url,record,
agpubrepos0079,Center Publications (University of California at Santa Cruz),California,University of California at Santa Cruz,Y,Center for Agroecology & Sustainable Food Systems (CASFS or the Center),https://casfs.ucsc.edu/about/publications/index.html,Center Publications,CORF News,,,,Dspace,,,url,record,
agpubrepos0080,Small Farms (University of California Davis),California,University of California Davis,,,http://sfp.ucdavis.edu/pubs/,Small Farms,,Small Farm Center Offers Online L,,,Dspace,,,url,record,
agpubrepos0081,Colorado Agriculture Bibliography (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/197183,Colorado Agriculture Bibliography,,Colorado State University,122,1864-2005,,,y,url,record,
agpubrepos0082,Technical Bulletins (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/189800,Technical Bulletins,,Colorado Agricultural Experiment Station,46,1932-2010,,,y,url,record,
agpubrepos0083,Technical Reports (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/189809,Technical Reports,,Colorado Agricultural Experiment Station,44,1993-2009,,,y,url,record,
agpubrepos0084,Circulars (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100008,Circulars,,Colorado Agricultural Experiment Station,3,1909-1911,,,y,url,record,
agpubrepos0085,Colorado Agriculture Experiment Station Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/189975,Colorado Agriculture Experiment Station Records,,Colorado Agricultural Experiment Station,144,1901-1906,,jpg,,url,record,
agpubrepos0086,Directors' Correspondence (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100009,Directors' Correspondence,,Colorado Agricultural Experiment Station,91,1896-1912,,,y,url,record,
agpubrepos0087,General Series (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/190003,General Series,,Colorado Agricultural Experiment Station,5,1961-1979,,,y,url,record,
agpubrepos0088,Limited Technical Bulletins (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100010,Limited Technical Bulletins,,Colorado Agricultural Experiment Station,7,1999-2009,,,y,url,record,
agpubrepos0089,Miscellaneous Series Papers (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100011/recent-submissions,Miscellaneous Series Papers,,Colorado Agricultural Experiment Station,247,1936-1941,,,y,url,record,
agpubrepos0090,Press Bulletin (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100012/recent-submissions,Press Bulletin,,Colorado Agricultural Experiment Station,71,1930-1945,,,y,url,record,
agpubrepos0091,Progress Reports (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/190004,Progress Reports,,Colorado Agricultural Experiment Station,3,1969-1979,,,y,url,record,
agpubrepos0092,Publications (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100013,Publications,,Colorado Agricultural Experiment Station,26,1900-1960,,,y,url,record,
agpubrepos0093,Research Bulletins (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100014,Research Bulletins,,Colorado Agricultural Experiment Station,5,1936-1937,,,y,url,record,
agpubrepos0094,Bulletins (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100020/recent-submissions,Bulletins,,Colorado Greenhouse Growers Association Records,477,1949-1988,,,y,url,record,
agpubrepos0095,Correspondence (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/190874,Correspondence,,Colorado Greenhouse Growers Association Records,19,1960-1972,,,y,url,record,
agpubrepos0096,Minutes (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/190873,Minutes,,Colorado Greenhouse Growers Association Records,45,1928-1964,,,y,url,record,
agpubrepos0097,Newsletters and Press Releases (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100018,Newsletters and Press Releases,,Colorado Greenhouse Growers Association Records,9,1969-1976,,,y,url,record,
agpubrepos0098,Photographic Material (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100019,Photographic Material,,Colorado Greenhouse Growers Association Records,10,1952-1971,,jpg,,url,record,
agpubrepos0099,Colorado 4-H (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/180176,Colorado 4-H,,Colorado State University Extension,13,1936-1974,,,y,url,record,
agpubrepos0100,Colorado Cooperative Extension Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100023,Colorado Cooperative Extension Records,,Colorado State University Extension,45,1913-1984,,,y,url,record,
